DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,AVP1,FDXHD,1,2,NWRS_MX,14:00:00,18:00:00
00544,AVP1,FDXHD,1,2,NWRS_MX,14:00:00,18:00:00
01001,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01001,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01002,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01002,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01003,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01004,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01004,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01005,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01007,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01008,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01009,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01010,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01011,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01012,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01013,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01013,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01014,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01020,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01020,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01021,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01022,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01022,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01026,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01027,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01027,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01028,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01028,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01029,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01030,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01030,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01031,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01032,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01033,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01034,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01035,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01035,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01036,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01036,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01037,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01038,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01039,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01040,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01040,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01041,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01050,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01053,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01054,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01056,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01056,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01057,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01059,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01060,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01060,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01061,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01062,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01062,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01063,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01063,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01066,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01068,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01069,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01070,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01071,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01072,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01073,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01074,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01075,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01075,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01077,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01077,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01079,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01080,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01081,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01082,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01083,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01084,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01085,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01085,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01086,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01088,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01089,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01089,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01090,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01092,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01093,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01094,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01095,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01095,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01096,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01097,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01098,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01101,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01102,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01103,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01103,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01104,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01104,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01105,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01105,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01106,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01106,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01107,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01107,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01108,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01109,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01109,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01111,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01115,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01116,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01118,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01118,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01119,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01119,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01128,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01129,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01129,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01138,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01139,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01144,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01151,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01151,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01152,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01199,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01201,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01202,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01203,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01220,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01222,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01223,AVP1,FDXHD,1,2,HART_MX,14:00:00,18:00:00
01224,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01225,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01226,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01227,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01229,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01230,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01235,AVP1,FDXHD,1,2,HART_MX,14:00:00,18:00:00
01236,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01237,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01238,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01240,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01242,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01243,AVP1,FDXHD,1,2,HART_MX,14:00:00,18:00:00
01244,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01245,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01247,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01252,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01253,AVP1,FDXHD,1,2,HART_MX,14:00:00,18:00:00
01254,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01255,AVP1,FDXHD,1,2,HART_MX,14:00:00,18:00:00
01256,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01257,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01258,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01259,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01260,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01262,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01263,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01264,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01266,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01267,AVP1,FDXHD,1,2,BING_MX,17:00:00,21:00:00
01270,AVP1,FDXHD,1,2,HART_MX,14:00:00,18:00:00
01301,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01302,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01330,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01331,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01337,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01338,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01339,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01340,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01341,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01342,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01343,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01344,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01346,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01347,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01349,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01350,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01351,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01354,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01355,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01360,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01364,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01366,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01367,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01368,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01370,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01373,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01375,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01376,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01378,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01379,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01380,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01420,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01430,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01431,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01432,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01432,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01434,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01436,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01438,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01440,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01441,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01450,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01451,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01452,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01453,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01453,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01460,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01460,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01462,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01463,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01464,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01467,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01468,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01469,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01472,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01473,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01474,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01475,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01501,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01501,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01503,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01504,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01504,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01505,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01505,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01506,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01507,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01507,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01508,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01509,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01510,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01510,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01515,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01516,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01518,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01519,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01519,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01520,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01520,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01521,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01522,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01523,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01524,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01524,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01525,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01526,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01527,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01527,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01529,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01529,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01531,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01532,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01532,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01534,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01534,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01535,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01536,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01536,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01537,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01537,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01538,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01540,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01540,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01541,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01542,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01543,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01545,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01545,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01546,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01550,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01560,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01560,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01561,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01562,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01564,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01564,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01566,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01568,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01569,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01569,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01570,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01570,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01571,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01571,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01581,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01581,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01583,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01583,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01585,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01586,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01588,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01588,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01590,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01590,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01601,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01602,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01602,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01603,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01603,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01604,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01604,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01605,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01605,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01606,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01606,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01607,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01607,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01608,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01609,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01609,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01610,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01610,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01611,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01612,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01613,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01614,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01615,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01653,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01655,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01701,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01701,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01702,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01702,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01703,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01704,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01705,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01718,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01718,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01719,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01719,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01720,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01721,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01721,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01730,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01730,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01731,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01731,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01740,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01740,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01741,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01742,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01742,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01745,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01746,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01746,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01747,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01747,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01748,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01748,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01749,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01749,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01752,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01752,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01754,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01756,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01756,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01757,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01757,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01760,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01760,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01770,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01772,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01772,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01773,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01775,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01775,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01776,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01776,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01778,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01778,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01784,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01801,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01801,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01803,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
01803,AVP1,ONTRGD,1,3,LTSC_TO,12:00:00,16:00:00
01805,AVP1,FDXHD,1,3,HART_MX,14:00:00,18:00:00
