DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,BNA1,FDXHD,2,5,ENAS_OB,14:30:00,18:30:00
00544,BNA1,FDXHD,2,5,ENAS_OB,14:30:00,18:30:00
01001,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01001,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01002,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01002,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01003,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01004,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01004,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01005,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01007,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01008,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01009,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01010,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01011,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01012,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01013,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01013,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01014,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01020,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01020,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01021,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01022,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01022,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01026,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01027,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01027,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01028,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01028,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01029,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01030,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01030,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01031,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01032,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01033,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01034,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01035,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01035,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01036,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01036,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01037,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01038,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01039,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01040,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01040,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01041,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01050,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01053,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01054,BNA1,FDXHD,3,5,MURF_EX,22:00:00,02:00:00
01056,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01056,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01057,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01059,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01060,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01060,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
01061,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01062,BNA1,FDXHD,3,5,ENAS_OB,14:30:00,18:30:00
01062,BNA1,ONTRGD,2,5,NASC_TO,14:00:00,18:00:00
