DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,CFC1,FDXHD,2,5,GRWD_EX,13:00:00,17:00:00
00544,CFC1,FDXHD,2,5,GRWD_EX,13:00:00,17:00:00
01001,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01001,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01002,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01002,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01003,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01004,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01004,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01005,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01007,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01008,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01009,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01010,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01011,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01012,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01013,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01013,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01014,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01020,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01020,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01021,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01022,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01022,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01026,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01027,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01027,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01028,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01028,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01029,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01030,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01030,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01031,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01032,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01033,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01034,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01035,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01035,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01036,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01036,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01037,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01038,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01039,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01040,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01040,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01041,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01050,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01053,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01054,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01056,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01056,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01057,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01059,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01060,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01060,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01061,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01062,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01062,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
01063,CFC1,ONTRGD,2,5,CLSC_TO,10:00:00,14:00:00
01063,CFC1,FDXHD,2,5,GRWD_TX,13:00:00,17:00:00
