DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,CFF1,FDXHD,2,5,GRWD_EX,14:00:00,17:00:00
00544,CFF1,FDXHD,2,5,GRWD_EX,14:00:00,17:00:00
01001,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01002,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01003,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01004,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01005,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01007,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01008,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01009,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01010,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01011,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01012,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01013,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01014,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01020,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01021,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01022,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01026,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01027,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01028,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01029,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01030,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01031,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01032,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01033,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01034,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01035,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01036,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01037,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01038,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01039,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01040,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01041,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01050,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01053,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01054,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01056,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01057,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01059,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01060,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01061,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01062,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01063,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01066,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01068,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01069,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01070,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01071,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01072,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01073,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01074,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01075,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01077,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01079,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01080,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01081,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01082,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01083,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01084,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01085,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01086,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01088,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01089,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01090,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01092,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01093,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01094,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01095,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01096,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01097,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01098,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01101,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01102,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01103,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01104,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01105,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01106,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01107,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01108,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01109,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01111,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01115,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01116,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01118,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01119,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01128,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01129,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01138,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01139,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01144,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
01151,CFF1,FDXHD,2,5,GRWD_TX,14:00:00,17:00:00
