DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,CLT1,FDXHD,2,4,CONC_OB,13:00:00,17:00:00
00544,CLT1,FDXHD,2,4,CONC_OB,13:00:00,17:00:00
01001,CLT1,ONTRGD,2,5,CHSC_TO,13:00:00,17:00:00
01001,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01002,CLT1,ONTRGD,2,5,CHSC_TO,13:00:00,17:00:00
01002,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01003,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01004,CLT1,ONTRGD,2,5,CHSC_TO,13:00:00,17:00:00
01004,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01005,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01007,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01008,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01009,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01010,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01011,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01012,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01013,CLT1,ONTRGD,2,5,CHSC_TO,13:00:00,17:00:00
01013,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01014,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01020,CLT1,ONTRGD,2,5,CHSC_TO,13:00:00,17:00:00
01020,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01021,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01022,CLT1,ONTRGD,2,5,CHSC_TO,13:00:00,17:00:00
01022,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01026,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01027,CLT1,ONTRGD,2,5,CHSC_TO,13:00:00,17:00:00
01027,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01028,CLT1,ONTRGD,2,5,CHSC_TO,13:00:00,17:00:00
01028,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01029,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01030,CLT1,ONTRGD,2,5,CHSC_TO,13:00:00,17:00:00
01030,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01031,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01032,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01033,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01034,CLT1,FDXHD,2,5,CONC_OB,13:00:00,17:00:00
01035,CLT1,ONTRGD,2,5,CHSC_TO,13:00:00,17:00:00
