DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,DAY1,FDXHD,2,4,NOKY_EX,21:00:00,01:00:00
00544,DAY1,FDXHD,2,4,NOKY_EX,21:00:00,01:00:00
01001,DAY1,ONTRGD,2,4,CLSC_TO,12:00:00,16:00:00
01001,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01002,DAY1,ONTRGD,2,4,CLSC_TO,12:00:00,16:00:00
01002,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01003,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01004,DAY1,ONTRGD,2,4,CLSC_TO,12:00:00,16:00:00
01004,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01005,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01007,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01008,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01009,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01010,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01011,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01012,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01013,DAY1,ONTRGD,2,4,CLSC_TO,12:00:00,16:00:00
01013,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01014,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01020,DAY1,ONTRGD,2,4,CLSC_TO,12:00:00,16:00:00
01020,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01021,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01022,DAY1,ONTRGD,2,4,CLSC_TO,12:00:00,16:00:00
01022,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01026,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01027,DAY1,ONTRGD,2,4,CLSC_TO,12:00:00,16:00:00
01027,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01028,DAY1,ONTRGD,2,4,CLSC_TO,12:00:00,16:00:00
01028,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01029,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01030,DAY1,ONTRGD,2,4,CLSC_TO,12:00:00,16:00:00
01030,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01031,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
01032,DAY1,FDXHD,2,5,NOKY_TX,12:00:00,16:00:00
