DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,DFW7,FDXHD,3,6,DALL_TX,16:00:00,19:00:00
00544,DFW7,FDXHD,3,6,DALL_TX,16:00:00,19:00:00
01001,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01002,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01003,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01004,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01005,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01007,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01008,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01009,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01010,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01011,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01012,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01013,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01014,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01020,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01021,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01022,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01026,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01027,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01028,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01029,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01030,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01031,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01032,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01033,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01034,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01035,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01036,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01037,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01038,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01039,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01040,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01041,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01050,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01053,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01054,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01056,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01057,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01059,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01060,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01061,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01062,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01063,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01066,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01068,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01069,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01070,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01071,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01072,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01073,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01074,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01075,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01077,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01079,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01080,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01081,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01082,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01083,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01084,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01085,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01086,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01088,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01089,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01090,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01092,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01093,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01094,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01095,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01096,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01097,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01098,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01101,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01102,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01103,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01104,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01105,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01106,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01107,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01108,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01109,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01111,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01115,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01116,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01118,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01119,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01128,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01129,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01138,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01139,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01144,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01151,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01152,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01199,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01201,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01202,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01203,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01220,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01222,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01223,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01224,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01225,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01226,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01227,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01229,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01230,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01235,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01236,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01237,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01238,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01240,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01242,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01243,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01244,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01245,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01247,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01252,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01253,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01254,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01255,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01256,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01257,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01258,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01259,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01260,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01262,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01263,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01264,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01266,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01267,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01270,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01301,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01302,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01330,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01331,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01337,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01338,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01339,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01340,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01341,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01342,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01343,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01344,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01346,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01347,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01349,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01350,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01351,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01354,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01355,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01360,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01364,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01366,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01367,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01368,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01370,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01373,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01375,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01376,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01378,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01379,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01380,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01420,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01430,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01431,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01432,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01434,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01436,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01438,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01440,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01441,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01450,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
01451,DFW7,FDXHD,3,7,DALL_TX,16:00:00,19:00:00
