DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
00544,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01001,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01002,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01003,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01004,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01005,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01007,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01008,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01009,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01010,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01011,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01012,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01013,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01014,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01020,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01021,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01022,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01026,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01027,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01028,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01029,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01030,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01031,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01032,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01033,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01034,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01035,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01036,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01037,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01038,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01039,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01040,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01041,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01050,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01053,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01054,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01056,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
01057,HOU2,FDXHD,3,7,HOUS_TX,14:00:00,17:00:00
