DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,MCI1,FDXHD,3,6,LNXA_EX,22:00:00,02:00:00
00544,MCI1,FDXHD,3,6,LNXA_EX,22:00:00,02:00:00
01001,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01002,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01003,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01004,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01005,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01007,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01008,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01009,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01010,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01011,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01012,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01013,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01014,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01020,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01021,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01022,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01026,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01027,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01028,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01029,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01030,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01031,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01032,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01033,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01034,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01035,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01036,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01037,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01038,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01039,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01040,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01041,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01050,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01053,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01054,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01056,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01057,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01059,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01060,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01061,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01062,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01063,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01066,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01068,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01069,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01070,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01071,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01072,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01073,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01074,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01075,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01077,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01079,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01080,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01081,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01082,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01083,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01084,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01085,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01086,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01088,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01089,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01090,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01092,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01093,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01094,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01095,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01096,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01097,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01098,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01101,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01102,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01103,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
01104,MCI1,FDXHD,3,6,OLAT_OB,14:30:00,18:30:00
