DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
00544,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01001,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01001,MCO1,ONTRGD,3,5,ORSC_TO,14:00:00,18:00:00
01002,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01002,MCO1,ONTRGD,3,5,ORSC_TO,14:00:00,18:00:00
01003,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01004,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01004,MCO1,ONTRGD,3,5,ORSC_TO,14:00:00,18:00:00
01005,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01007,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01008,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01009,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01010,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01011,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01012,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01013,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01013,MCO1,ONTRGD,3,5,ORSC_TO,14:00:00,18:00:00
01014,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01020,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01020,MCO1,ONTRGD,3,5,ORSC_TO,14:00:00,18:00:00
01021,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01022,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01022,MCO1,ONTRGD,3,5,ORSC_TO,14:00:00,18:00:00
01026,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01027,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01027,MCO1,ONTRGD,3,5,ORSC_TO,14:00:00,18:00:00
01028,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01028,MCO1,ONTRGD,3,5,ORSC_TO,14:00:00,18:00:00
01029,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01030,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01030,MCO1,ONTRGD,3,5,ORSC_TO,14:00:00,18:00:00
01031,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01032,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
01033,MCO1,FDXHD,3,5,OCAL_TX,14:00:00,18:00:00
