DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
00544,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01001,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01002,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01003,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01004,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01005,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01007,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01008,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01009,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01010,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01011,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01012,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01013,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01014,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01020,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01021,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01022,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01026,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01027,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01028,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01029,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01030,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01031,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01032,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01033,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01034,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01035,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01036,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01037,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01038,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01039,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01040,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01041,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01050,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01053,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01054,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01056,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01057,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01059,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01060,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01061,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01062,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01063,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01066,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01068,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01069,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01070,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01071,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01072,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01073,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01074,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01075,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01077,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01079,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01080,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01081,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01082,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01083,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01084,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01085,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01086,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01088,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01089,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01090,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01092,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01093,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01094,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01095,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01096,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01097,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01098,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01101,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01102,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01103,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01104,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01105,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01106,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01107,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01108,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01109,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
01111,MDT3,FDXHD,1,3,MIDD_MX,13:00:00,16:00:00
