DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
00544,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01001,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01002,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01003,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01004,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01005,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01007,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01008,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01009,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01010,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01011,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01012,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01013,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01014,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01020,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01021,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01022,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01026,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01027,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01028,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01029,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01030,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01031,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01032,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01033,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01034,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01035,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01036,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01037,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01038,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01039,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01040,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01041,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01050,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01053,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01054,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01056,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01057,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01059,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01060,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01061,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01062,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01063,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01066,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01068,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01069,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
01070,PHX1,FDXHD,5,8,PHOE_EX,22:59:00,02:59:00
