DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
57543,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57547,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57551,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57553,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57567,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57574,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57577,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57620,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57626,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57638,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57640,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57644,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57649,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57650,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57651,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
57701,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57702,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57703,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57706,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57709,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57714,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57716,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57717,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57718,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57719,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57720,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57722,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57724,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57725,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57730,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57732,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57735,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57737,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57738,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57741,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57744,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57745,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57747,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57748,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57750,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57751,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57752,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57754,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57755,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57756,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57758,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57759,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57760,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57761,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57762,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57763,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57764,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57766,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57767,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57769,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57770,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57772,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57773,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57775,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57776,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57779,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57780,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57782,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57783,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57785,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57787,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57788,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57790,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57791,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57792,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57793,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57794,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
57799,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
58313,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58316,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58318,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58329,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58341,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58366,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58367,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58368,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58369,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58384,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58438,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58540,RNF1,FDXHD,3,6,SACR_EX,20:40:00,23:40:00
58601,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
58602,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
58620,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
58621,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
58622,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
58623,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
58626,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
58627,RNF1,FDXHD,3,5,SACR_EX,20:40:00,23:40:00
