DESTINATION_ZIP,LOCATION,SHIPPING_METHOD,TRANSIT_DAYS,FREIGHT_ZONE,DEFAULT_ROUTE,CUT_TIME,PULL_TIME
00501,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
00544,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01001,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01002,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01003,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01004,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01005,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01007,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01008,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01009,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01010,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01011,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01012,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01013,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01014,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01020,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01021,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01022,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01026,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01027,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01028,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01029,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01030,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01031,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01032,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01033,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01034,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01035,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01036,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01037,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01038,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01039,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01040,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01041,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01050,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
01053,RNO1,FDXHD,5,8,SACR_EX,19:40:00,23:40:00
